id,date,prcp,tmax,tmin
NIM00065271,2010-01-01,NA,NA,NA
NIM00065271,2010-01-02,NA,NA,NA
NIM00065271,2010-01-03,NA,NA,NA
NIM00065271,2010-01-04,NA,NA,NA
NIM00065271,2010-01-05,NA,NA,NA
NIM00065271,2010-01-06,NA,NA,NA
NIM00065271,2010-01-07,NA,NA,NA
NIM00065271,2010-01-08,NA,NA,NA
NIM00065271,2010-01-09,NA,NA,NA
NIM00065271,2010-01-10,NA,NA,NA
NIM00065271,2010-01-11,NA,NA,NA
NIM00065271,2010-01-12,NA,NA,NA
NIM00065271,2010-01-13,NA,NA,164
NIM00065271,2010-01-14,NA,NA,NA
NIM00065271,2010-01-15,NA,NA,NA
NIM00065271,2010-01-16,NA,NA,NA
NIM00065271,2010-01-17,NA,NA,NA
NIM00065271,2010-01-18,NA,NA,NA
NIM00065271,2010-01-19,NA,NA,NA
NIM00065271,2010-01-20,NA,NA,NA
NIM00065271,2010-01-21,NA,NA,NA
NIM00065271,2010-01-22,NA,NA,NA
NIM00065271,2010-01-23,NA,NA,NA
NIM00065271,2010-01-24,NA,NA,NA
NIM00065271,2010-01-25,NA,NA,NA
NIM00065271,2010-01-26,NA,NA,NA
NIM00065271,2010-01-27,NA,NA,NA
NIM00065271,2010-01-28,NA,NA,NA
NIM00065271,2010-01-29,NA,NA,NA
NIM00065271,2010-01-30,NA,NA,NA
NIM00065271,2010-01-31,NA,NA,NA
NIM00065271,2010-02-01,NA,NA,NA
NIM00065271,2010-02-02,NA,NA,NA
NIM00065271,2010-02-03,NA,NA,NA
NIM00065271,2010-02-04,NA,NA,NA
NIM00065271,2010-02-05,NA,NA,NA
NIM00065271,2010-02-06,NA,NA,NA
NIM00065271,2010-02-07,NA,NA,NA
NIM00065271,2010-02-08,NA,NA,NA
NIM00065271,2010-02-09,NA,NA,NA
NIM00065271,2010-02-10,NA,NA,NA
NIM00065271,2010-02-11,NA,NA,NA
NIM00065271,2010-02-12,NA,NA,NA
NIM00065271,2010-02-13,NA,NA,276
NIM00065271,2010-02-14,NA,NA,NA
NIM00065271,2010-02-15,NA,NA,NA
NIM00065271,2010-02-16,NA,NA,NA
NIM00065271,2010-02-17,NA,NA,273
NIM00065271,2010-02-18,NA,391,NA
NIM00065271,2010-02-19,NA,NA,NA
NIM00065271,2010-02-20,NA,394,284
NIM00065271,2010-02-21,NA,NA,NA
NIM00065271,2010-02-22,NA,NA,NA
NIM00065271,2010-02-23,NA,NA,NA
NIM00065271,2010-02-24,NA,395,268
NIM00065271,2010-02-25,NA,NA,NA
NIM00065271,2010-02-26,NA,NA,NA
NIM00065271,2010-02-27,NA,NA,276
NIM00065271,2010-02-28,NA,NA,NA
NIM00065271,2010-03-01,NA,NA,NA
NIM00065271,2010-03-02,NA,NA,NA
NIM00065271,2010-03-03,NA,NA,NA
NIM00065271,2010-03-04,NA,NA,NA
NIM00065271,2010-03-05,NA,NA,NA
NIM00065271,2010-03-06,NA,NA,NA
NIM00065271,2010-03-07,NA,NA,NA
NIM00065271,2010-03-08,NA,392,281
NIM00065271,2010-03-09,NA,NA,NA
NIM00065271,2010-03-10,NA,NA,NA
NIM00065271,2010-03-11,NA,NA,NA
NIM00065271,2010-03-12,NA,NA,NA
NIM00065271,2010-03-13,NA,NA,NA
NIM00065271,2010-03-14,NA,NA,NA
NIM00065271,2010-03-15,NA,NA,NA
NIM00065271,2010-03-16,NA,NA,NA
NIM00065271,2010-03-17,NA,NA,NA
NIM00065271,2010-03-18,NA,NA,NA
NIM00065271,2010-03-19,NA,362,266
NIM00065271,2010-03-20,NA,NA,NA
NIM00065271,2010-03-21,NA,NA,NA
NIM00065271,2010-03-22,NA,NA,NA
NIM00065271,2010-03-23,NA,NA,NA
NIM00065271,2010-03-24,NA,NA,NA
NIM00065271,2010-03-25,NA,402,231
NIM00065271,2010-03-26,NA,NA,NA
NIM00065271,2010-03-27,NA,NA,NA
NIM00065271,2010-03-28,NA,NA,NA
NIM00065271,2010-03-29,NA,NA,NA
NIM00065271,2010-03-30,NA,NA,NA
NIM00065271,2010-03-31,NA,402,262
NIM00065271,2010-04-01,NA,NA,NA
NIM00065271,2010-04-02,NA,NA,NA
NIM00065271,2010-04-03,NA,NA,NA
NIM00065271,2010-04-04,NA,NA,NA
NIM00065271,2010-04-05,NA,NA,NA
NIM00065271,2010-04-06,NA,NA,NA
NIM00065271,2010-04-07,NA,NA,NA
NIM00065271,2010-04-08,NA,NA,273
NIM00065271,2010-04-09,NA,NA,NA
NIM00065271,2010-04-10,NA,NA,NA
NIM00065271,2010-04-11,NA,NA,NA
NIM00065271,2010-04-12,NA,NA,NA
NIM00065271,2010-04-13,NA,NA,NA
NIM00065271,2010-04-14,NA,373,281
NIM00065271,2010-04-15,NA,391,255
NIM00065271,2010-04-16,NA,NA,NA
NIM00065271,2010-04-17,NA,NA,NA
NIM00065271,2010-04-18,NA,NA,NA
NIM00065271,2010-04-19,NA,NA,NA
NIM00065271,2010-04-20,NA,NA,NA
NIM00065271,2010-04-21,NA,NA,NA
NIM00065271,2010-04-22,NA,NA,NA
NIM00065271,2010-04-23,NA,NA,NA
NIM00065271,2010-04-24,NA,NA,NA
NIM00065271,2010-04-25,NA,NA,NA
NIM00065271,2010-04-26,NA,NA,NA
NIM00065271,2010-04-27,NA,354,NA
NIM00065271,2010-04-28,NA,NA,NA
NIM00065271,2010-04-29,NA,NA,NA
NIM00065271,2010-04-30,NA,NA,NA
NIM00065271,2010-05-01,NA,NA,NA
