id,date,prcp,tmax,tmin
MXN00012142,2010-01-01,0,300,228
MXN00012142,2010-01-02,0,300,233
MXN00012142,2010-01-03,0,311,239
MXN00012142,2010-01-04,0,311,239
MXN00012142,2010-01-05,0,294,239
MXN00012142,2010-01-06,0,300,239
MXN00012142,2010-01-07,0,300,244
MXN00012142,2010-01-08,0,294,244
MXN00012142,2010-01-09,0,306,233
MXN00012142,2010-01-10,0,300,239
MXN00012142,2010-01-11,0,300,228
MXN00012142,2010-01-12,0,300,233
MXN00012142,2010-01-13,0,300,233
MXN00012142,2010-01-14,0,300,239
MXN00012142,2010-01-15,0,300,239
MXN00012142,2010-01-16,0,300,217
MXN00012142,2010-01-17,0,300,239
MXN00012142,2010-01-18,0,300,239
MXN00012142,2010-01-19,0,300,244
MXN00012142,2010-01-20,0,300,233
MXN00012142,2010-01-21,0,300,228
MXN00012142,2010-01-22,0,300,239
MXN00012142,2010-01-23,0,294,239
MXN00012142,2010-01-24,0,289,233
MXN00012142,2010-01-25,0,300,228
MXN00012142,2010-01-26,0,300,239
MXN00012142,2010-01-27,0,300,233
MXN00012142,2010-01-28,0,306,244
MXN00012142,2010-01-29,0,300,239
MXN00012142,2010-01-30,0,311,239
MXN00012142,2010-01-31,0,300,244
MXN00012142,2010-02-01,0,300,239
MXN00012142,2010-02-02,0,300,244
MXN00012142,2010-02-03,838,300,239
MXN00012142,2010-02-04,157,294,228
MXN00012142,2010-02-05,0,294,211
MXN00012142,2010-02-06,0,289,217
MXN00012142,2010-02-07,0,289,228
MXN00012142,2010-02-08,0,278,194
MXN00012142,2010-02-09,0,306,206
MXN00012142,2010-02-10,0,300,222
MXN00012142,2010-02-11,0,300,239
MXN00012142,2010-02-12,0,306,244
MXN00012142,2010-02-13,0,300,239
MXN00012142,2010-02-14,0,300,244
MXN00012142,2010-02-15,0,300,228
MXN00012142,2010-02-16,0,300,244
MXN00012142,2010-02-17,0,294,217
MXN00012142,2010-02-18,0,261,244
MXN00012142,2010-02-19,0,289,222
MXN00012142,2010-02-20,0,300,228
MXN00012142,2010-02-21,0,300,233
MXN00012142,2010-02-22,0,283,228
MXN00012142,2010-02-23,0,289,228
MXN00012142,2010-02-24,0,300,233
MXN00012142,2010-02-25,0,289,233
MXN00012142,2010-02-26,0,300,228
MXN00012142,2010-02-27,0,300,233
MXN00012142,2010-02-28,0,294,239
MXN00012142,2010-03-01,0,289,233
MXN00012142,2010-03-02,0,289,228
MXN00012142,2010-03-03,0,294,222
MXN00012142,2010-03-04,0,289,222
MXN00012142,2010-03-05,0,294,233
MXN00012142,2010-03-06,0,300,239
MXN00012142,2010-03-07,0,306,228
MXN00012142,2010-03-08,0,300,250
MXN00012142,2010-03-09,0,300,233
MXN00012142,2010-03-10,0,300,239
MXN00012142,2010-03-11,0,278,239
MXN00012142,2010-03-12,0,300,228
MXN00012142,2010-03-13,0,300,239
MXN00012142,2010-03-14,0,300,244
MXN00012142,2010-03-15,0,294,239
MXN00012142,2010-03-16,0,294,228
MXN00012142,2010-03-17,0,306,239
MXN00012142,2010-03-18,0,300,244
MXN00012142,2010-03-19,0,300,239
