id,date,prcp,tmax,tmin
GHM00065418,2010-01-01,NA,NA,NA
GHM00065418,2010-01-02,NA,NA,NA
GHM00065418,2010-01-03,NA,NA,NA
GHM00065418,2010-01-04,NA,NA,NA
GHM00065418,2010-01-05,NA,NA,NA
GHM00065418,2010-01-06,NA,375,NA
GHM00065418,2010-01-07,NA,NA,180
GHM00065418,2010-01-08,NA,NA,NA
GHM00065418,2010-01-09,NA,NA,NA
GHM00065418,2010-01-10,NA,NA,NA
GHM00065418,2010-01-11,NA,NA,NA
GHM00065418,2010-01-12,NA,NA,NA
GHM00065418,2010-01-13,NA,NA,NA
GHM00065418,2010-01-14,NA,NA,NA
GHM00065418,2010-01-15,NA,NA,NA
GHM00065418,2010-01-16,NA,NA,NA
GHM00065418,2010-01-17,NA,NA,NA
GHM00065418,2010-01-18,NA,NA,NA
GHM00065418,2010-01-19,NA,NA,NA
GHM00065418,2010-01-20,NA,NA,NA
GHM00065418,2010-01-21,NA,NA,NA
GHM00065418,2010-01-22,NA,NA,NA
GHM00065418,2010-01-23,NA,NA,NA
GHM00065418,2010-01-24,NA,NA,NA
GHM00065418,2010-01-25,NA,NA,NA
GHM00065418,2010-01-26,NA,NA,NA
GHM00065418,2010-01-27,NA,NA,NA
GHM00065418,2010-01-28,NA,NA,218
GHM00065418,2010-01-29,NA,NA,NA
GHM00065418,2010-01-30,NA,NA,NA
GHM00065418,2010-01-31,NA,NA,NA
GHM00065418,2010-02-01,NA,NA,NA
GHM00065418,2010-02-02,NA,NA,184
GHM00065418,2010-02-03,NA,396,NA
GHM00065418,2010-02-04,NA,NA,NA
GHM00065418,2010-02-05,NA,384,NA
GHM00065418,2010-02-06,NA,NA,NA
GHM00065418,2010-02-07,NA,NA,NA
GHM00065418,2010-02-08,NA,NA,NA
GHM00065418,2010-02-09,NA,NA,NA
GHM00065418,2010-02-10,NA,387,NA
GHM00065418,2010-02-11,NA,NA,NA
GHM00065418,2010-02-12,NA,NA,NA
GHM00065418,2010-02-13,NA,NA,NA
GHM00065418,2010-02-14,NA,NA,NA
GHM00065418,2010-02-15,NA,NA,NA
GHM00065418,2010-02-16,NA,NA,NA
GHM00065418,2010-02-17,NA,NA,NA
GHM00065418,2010-02-18,NA,NA,NA
GHM00065418,2010-02-19,NA,NA,NA
GHM00065418,2010-02-20,NA,NA,NA
GHM00065418,2010-02-21,NA,NA,NA
GHM00065418,2010-02-22,NA,NA,NA
GHM00065418,2010-02-23,NA,NA,NA
GHM00065418,2010-02-24,NA,NA,NA
GHM00065418,2010-02-25,NA,NA,NA
GHM00065418,2010-02-26,NA,NA,285
GHM00065418,2010-02-27,NA,NA,NA
GHM00065418,2010-02-28,NA,NA,NA
GHM00065418,2010-03-01,NA,NA,NA
GHM00065418,2010-03-02,NA,395,NA
GHM00065418,2010-03-03,NA,NA,NA
GHM00065418,2010-03-04,NA,NA,NA
GHM00065418,2010-03-05,NA,NA,NA
GHM00065418,2010-03-06,NA,NA,NA
GHM00065418,2010-03-07,NA,NA,NA
GHM00065418,2010-03-08,NA,NA,NA
GHM00065418,2010-03-09,NA,NA,NA
GHM00065418,2010-03-10,NA,NA,NA
GHM00065418,2010-03-11,NA,NA,NA
GHM00065418,2010-03-12,NA,NA,NA
GHM00065418,2010-03-13,NA,NA,NA
GHM00065418,2010-03-14,NA,NA,NA
GHM00065418,2010-03-15,NA,NA,NA
GHM00065418,2010-03-16,NA,NA,NA
GHM00065418,2010-03-17,NA,NA,NA
GHM00065418,2010-03-18,221,NA,215
GHM00065418,2010-03-19,NA,NA,NA
GHM00065418,2010-03-20,NA,NA,NA
GHM00065418,2010-03-21,NA,NA,NA
GHM00065418,2010-03-22,NA,NA,NA
GHM00065418,2010-03-23,NA,NA,NA
GHM00065418,2010-03-24,NA,NA,NA
GHM00065418,2010-03-25,NA,NA,NA
GHM00065418,2010-03-26,NA,NA,NA
GHM00065418,2010-03-27,NA,NA,NA
GHM00065418,2010-03-28,NA,NA,254
GHM00065418,2010-03-29,NA,NA,NA
GHM00065418,2010-03-30,NA,NA,NA
GHM00065418,2010-03-31,NA,NA,NA
GHM00065418,2010-04-01,NA,NA,280
GHM00065418,2010-04-02,NA,NA,NA
GHM00065418,2010-04-03,NA,NA,NA
GHM00065418,2010-04-04,NA,NA,NA
GHM00065418,2010-04-05,NA,NA,NA
GHM00065418,2010-04-06,NA,NA,NA
GHM00065418,2010-04-07,NA,374,NA
GHM00065418,2010-04-08,NA,NA,282
GHM00065418,2010-04-09,NA,NA,285
GHM00065418,2010-04-10,NA,NA,NA
GHM00065418,2010-04-11,NA,NA,NA
GHM00065418,2010-04-12,NA,NA,NA
GHM00065418,2010-04-13,NA,NA,NA
GHM00065418,2010-04-14,NA,NA,NA
GHM00065418,2010-04-15,NA,NA,NA
GHM00065418,2010-04-16,NA,NA,NA
GHM00065418,2010-04-17,NA,NA,NA
GHM00065418,2010-04-18,NA,NA,NA
GHM00065418,2010-04-19,NA,NA,NA
GHM00065418,2010-04-20,NA,NA,NA
GHM00065418,2010-04-21,NA,NA,NA
GHM00065418,2010-04-22,NA,NA,NA
GHM00065418,2010-04-23,NA,NA,NA
GHM00065418,2010-04-24,NA,NA,NA
GHM00065418,2010-04-25,NA,NA,NA
GHM00065418,2010-04-26,NA,NA,NA
GHM00065418,2010-04-27,NA,288,NA
GHM00065418,2010-04-28,NA,NA,NA
GHM00065418,2010-04-29,NA,NA,NA
GHM00065418,2010-04-30,NA,NA,NA
GHM00065418,2010-05-01,NA,NA,NA
GHM00065418,2010-05-02,NA,NA,NA
GHM00065418,2010-05-03,NA,NA,NA
GHM00065418,2010-05-04,NA,NA,NA
GHM00065418,2010-05-05,NA,NA,NA
GHM00065418,2010-05-06,NA,NA,NA
GHM00065418,2010-05-07,NA,NA,NA
GHM00065418,2010-05-08,NA,NA,NA
GHM00065418,2010-05-09,NA,NA,NA
GHM00065418,2010-05-10,NA,NA,NA
GHM00065418,2010-05-11,NA,NA,NA
GHM00065418,2010-05-12,NA,NA,NA
GHM00065418,2010-05-13,NA,NA,NA
GHM00065418,2010-05-14,NA,NA,NA
GHM00065418,2010-05-15,NA,NA,NA
GHM00065418,2010-05-16,NA,365,NA
GHM00065418,2010-05-17,NA,NA,NA
GHM00065418,2010-05-18,NA,NA,NA
GHM00065418,2010-05-19,NA,NA,NA
GHM00065418,2010-05-20,NA,NA,NA
GHM00065418,2010-05-21,NA,NA,NA
GHM00065418,2010-05-22,NA,NA,NA
GHM00065418,2010-05-23,NA,NA,NA
GHM00065418,2010-05-24,NA,NA,NA
GHM00065418,2010-05-25,NA,NA,NA
GHM00065418,2010-05-26,NA,NA,NA
GHM00065418,2010-05-27,NA,NA,NA
GHM00065418,2010-05-28,NA,NA,NA
GHM00065418,2010-05-29,NA,NA,NA
GHM00065418,2010-05-30,NA,NA,NA
GHM00065418,2010-05-31,NA,360,NA
GHM00065418,2010-06-01,NA,NA,NA
GHM00065418,2010-06-02,NA,NA,NA
GHM00065418,2010-06-03,NA,NA,NA
GHM00065418,2010-06-04,NA,NA,NA
GHM00065418,2010-06-05,NA,NA,NA
GHM00065418,2010-06-06,NA,NA,NA
GHM00065418,2010-06-07,NA,NA,NA
GHM00065418,2010-06-08,NA,NA,NA
GHM00065418,2010-06-09,NA,NA,NA
GHM00065418,2010-06-10,NA,NA,NA
GHM00065418,2010-06-11,NA,NA,NA
GHM00065418,2010-06-12,NA,NA,NA
GHM00065418,2010-06-13,NA,NA,NA
GHM00065418,2010-06-14,NA,NA,NA
GHM00065418,2010-06-15,NA,NA,NA
GHM00065418,2010-06-16,NA,NA,NA
GHM00065418,2010-06-17,NA,NA,NA
GHM00065418,2010-06-18,NA,NA,NA
GHM00065418,2010-06-19,NA,NA,NA
GHM00065418,2010-06-20,NA,NA,NA
GHM00065418,2010-06-21,NA,NA,NA
GHM00065418,2010-06-22,NA,NA,NA
GHM00065418,2010-06-23,NA,NA,NA
GHM00065418,2010-06-24,NA,NA,NA
GHM00065418,2010-06-25,NA,306,NA
GHM00065418,2010-06-26,NA,NA,NA
GHM00065418,2010-06-27,NA,NA,NA
GHM00065418,2010-06-28,NA,NA,NA
GHM00065418,2010-06-29,NA,NA,NA
GHM00065418,2010-06-30,NA,NA,NA
GHM00065418,2010-07-01,NA,NA,NA
GHM00065418,2010-07-02,NA,NA,NA
GHM00065418,2010-07-03,NA,NA,NA
GHM00065418,2010-07-04,NA,NA,NA
GHM00065418,2010-07-05,NA,NA,NA
GHM00065418,2010-07-06,NA,NA,NA
GHM00065418,2010-07-07,NA,NA,NA
GHM00065418,2010-07-08,NA,NA,NA
GHM00065418,2010-07-09,NA,NA,NA
GHM00065418,2010-07-10,NA,NA,NA
GHM00065418,2010-07-11,20,NA,223
GHM00065418,2010-07-12,10,NA,224
GHM00065418,2010-07-13,NA,NA,NA
GHM00065418,2010-07-14,NA,NA,NA
GHM00065418,2010-07-15,NA,NA,NA
GHM00065418,2010-07-16,NA,290,NA
GHM00065418,2010-07-17,NA,NA,NA
GHM00065418,2010-07-18,NA,NA,NA
GHM00065418,2010-07-19,NA,NA,NA
GHM00065418,2010-07-20,NA,NA,NA
GHM00065418,2010-07-21,NA,NA,NA
GHM00065418,2010-07-22,NA,NA,NA
GHM00065418,2010-07-23,NA,NA,NA
GHM00065418,2010-07-24,NA,NA,NA
GHM00065418,2010-07-25,NA,NA,NA
GHM00065418,2010-07-26,NA,NA,NA
GHM00065418,2010-07-27,NA,NA,NA
GHM00065418,2010-07-28,NA,NA,NA
GHM00065418,2010-07-29,NA,NA,NA
GHM00065418,2010-07-30,NA,NA,NA
GHM00065418,2010-07-31,NA,NA,NA
GHM00065418,2010-08-01,NA,NA,NA
GHM00065418,2010-08-02,NA,NA,NA
GHM00065418,2010-08-03,NA,NA,NA
GHM00065418,2010-08-04,NA,NA,NA
GHM00065418,2010-08-05,NA,NA,NA
GHM00065418,2010-08-06,NA,NA,230
GHM00065418,2010-08-07,NA,NA,NA
GHM00065418,2010-08-08,NA,NA,NA
GHM00065418,2010-08-09,NA,NA,NA
GHM00065418,2010-08-10,51,NA,218
GHM00065418,2010-08-11,599,NA,215
GHM00065418,2010-08-12,0,NA,NA
GHM00065418,2010-08-13,439,NA,227
GHM00065418,2010-08-14,0,NA,NA
GHM00065418,2010-08-15,NA,310,NA
GHM00065418,2010-08-16,NA,NA,NA
GHM00065418,2010-08-17,NA,NA,NA
GHM00065418,2010-08-18,NA,292,NA
GHM00065418,2010-08-19,NA,315,NA
GHM00065418,2010-08-20,NA,NA,230
